RA,Turma,Nome,Ano_Nascimento,Idade,Gênero,Ano ingresso,Instituição de ensino,Pedra,INDE,Cg,Cf,Ct,Numero_Avaliacoes,Rec Av1,Rec Av2,Rec Av3,Rec Av4,IAA,IEG,IPS,Rec Psicologia,IDA,Indicado,Atingiu PV,IPV,IAN,Defasagem,Destaque IEG,Destaque IDA,Destaque IPV,Ano_Coleta_Dados
RA-1,A,Aluno-1,2003,19,Menina,2016,Escola Pública,Quartzo,"5,783","753,000",18,10,4,Mantido na Fase atual,Promovido de Fase + Bolsa,Promovido de Fase,Mantido na Fase atual,"8,3","4,1","5,6",Requer avaliação,"4,0",Sim,Não,"7,278","5,000",-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-2,A,Aluno-2,2005,17,Menina,2017,Rede Decisão,Ametista,"7,055","469,000",8,3,4,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase + Bolsa,"8,8","5,2","6,3",Sem limitações,"6,8",Não,Não,"6,778","10,000",0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-3,A,Aluno-3,2005,17,Menina,2016,Rede Decisão,Ágata,"6,591","629,000",13,6,4,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,"0,0","7,9","5,6",Sem limitações,"5,6",Não,Não,"7,556","10,000",0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-4,A,Aluno-4,2005,17,Menino,2017,Rede Decisão,Quartzo,"5,951","731,000",15,7,4,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,"8,8","4,5","5,6",Requer avaliação,"5,0",Não,Não,"5,278","10,000",0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-5,A,Aluno-5,2005,17,Menina,2016,Rede Decisão,Ametista,"7,427","344,000",6,2,4,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,"7,9","8,6","5,6",Requer avaliação,"5,2",Não,Não,"7,389","10,000",0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-6,A,Aluno-6,2004,18,Menina,2021,Escola Pública,Quartzo,"5,848","745,000",16,8,4,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Mantido na Fase atual,"7,9","4,5","7,5",Sem limitações,"3,3",Sim,Não,"7,222","5,000",-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-7,A,Aluno-7,2004,18,Menino,2017,Rede Decisão,Ágata,"6,818","550,000",11,5,4,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Mantido na Fase atual,"0,0","8,4","7,5",Sem limitações,"7,6",Não,Não,"7,667","5,000",-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-8,A,Aluno-8,2002,20,Menina,2018,Escola Pública,Quartzo,"4,786","836,000",21,13,4,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,"7,1","4,6","6,3",Requer avaliação,"1,6",Não,Não,"6,278","5,000",-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-9,A,Aluno-9,2004,18,Menina,2019,Escola Pública,Topázio,"8,109","113,000",1,1,4,Promovido de Fase,Mantido na Fase atual,Promovido de Fase + Bolsa,Mantido na Fase + Bolsa,"8,8","9,5","7,5",Sem limitações,"6,7",Sim,Sim,"9,500","5,000",-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-10,A,Aluno-10,2004,18,Menina,2021,Escola Pública,Quartzo,"5,784","752,000",17,9,4,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,"8,3","5,2","5,0",Requer avaliação,"4,1",Não,Não,"7,056","5,000",-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-11,A,Aluno-11,2004,18,Menina,2016,Escola Pública,Quartzo,"5,323","799,000",19,11,4,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,"9,2","4,2","5,0",Requer avaliação,"3,0",Não,Não,"6,389","5,000",-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-12,A,Aluno-12,2005,17,Menina,2020,Escola Pública,Quartzo,"4,832","834,000",20,12,4,Promovido de Fase,Promovido de Fase + Bolsa,Mantido na Fase atual,Mantido na Fase atual,"0,0","4,0","6,9",Sem limitações,"1,5",Sim,Não,"6,389","10,000",0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-13,A,Aluno-13,2004,18,Menino,2016,Escola Pública,Ágata,"6,902","524,000",10,4,4,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Mantido na Fase atual,"7,9","7,4","7,5",Sem limitações,"4,7",Sim,Não,"8,056","5,000",-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-14,D,Aluno-14,2001,21,Menino,2022,Escola Pública,Ágata,"6,793","558,000",12,7,4,Promovido de Fase + Bolsa,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,"7,9","8,3","7,5",Não atendido,"4,0",Sim,Não,"7,750","5,000",-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-15,D,Aluno-15,2004,18,Menino,2022,Escola Pública,Ametista,"7,783","207,000",3,2,4,Promovido de Fase + Bolsa,Mantido na Fase atual,Mantido na Fase + Bolsa,Mantido na Fase atual,"8,8","10,0","7,5",Não atendido,"7,3",Sim,Não,"7,292","5,000",-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-16,D,Aluno-16,2003,19,Menino,2022,Escola Pública,Ágata,"6,112","706,000",14,8,4,Promovido de Fase + Bolsa,Mantido na Fase atual,Mantido na Fase + Bolsa,Mantido na Fase atual,"7,9","8,3","5,0",Requer avaliação,"3,5",Sim,Não,"6,333","5,000",-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-17,D,Aluno-17,2002,20,Menino,2022,Escola Pública,Topázio,"8,068","125,000",2,1,4,Promovido de Fase + Bolsa,Mantido na Fase atual,Mantido na Fase + Bolsa,Mantido na Fase atual,"8,8","10,0","7,5",Não atendido,"7,8",Sim,Não,"8,292","5,000",-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-18,D,Aluno-18,2003,19,Menino,2022,Escola Pública,Ametista,"7,226","418,000",7,5,4,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase + Bolsa,Mantido na Fase atual,"6,3","8,7","6,3",Requer avaliação,"9,0",Sim,Não,"6,875","5,000",-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-19,D,Aluno-19,2003,19,Menina,2022,Escola Pública,Ametista,"7,665","248,000",4,3,4,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase + Bolsa,Mantido na Fase atual,"7,9","9,5","7,5",Sem limitações,"8,0",Sim,Não,"7,000","5,000",-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-20,D,Aluno-20,2003,19,Menina,2022,Escola Pública,Ametista,"7,535","296,000",5,4,4,Promovido de Fase + Bolsa,Mantido na Fase atual,Mantido na Fase + Bolsa,Mantido na Fase atual,"7,1","10,0","6,3",Não atendido,"7,8",Sim,Não,"7,167","5,000",-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-21,D,Aluno-21,2004,18,Menino,2022,Escola Pública,Ágata,"6,945","508,000",9,6,4,Promovido de Fase + Bolsa,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,"9,6","9,2","7,5",Não atendido,"3,8",Sim,Não,"7,250","5,000",-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-22,A,Aluno-22,2005,17,Menina,2019,Rede Decisão,Ametista,"7,474","327,000",10,10,4,Promovido de Fase,Promovido de Fase + Bolsa,Mantido na Fase + Bolsa,Promovido de Fase,"8,3","7,4","8,1",Sem limitações,"6,7",Não,Sim,"8,833","5,000",-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-23,A,Aluno-23,2005,17,Menino,2021,Escola Pública,Ametista,"7,677","243,000",8,8,4,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,"8,3","8,2","8,1",Sem limitações,"6,7",Sim,Sim,"8,556","5,000",-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-24,A,Aluno-24,2005,17,Menina,2021,Rede Decisão,Topázio,"8,087","119,000",5,5,4,Promovido de Fase,Mantido na Fase atual,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,"9,2","7,9","6,9",Requer avaliação,"8,6",Não,Sim,"9,111","5,000",-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-25,A,Aluno-25,2005,17,Menina,2021,Escola Pública,Ametista,"7,979","147,000",6,6,4,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase + Bolsa,"8,3","8,3","8,8",Sem limitações,"6,9",Sim,Sim,"9,667","5,000",-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-26,A,Aluno-26,2005,17,Menino,2022,Escola Pública,Topázio,"8,677","17,000",3,3,4,Promovido de Fase,Promovido de Fase + Bolsa,Mantido na Fase + Bolsa,Promovido de Fase + Bolsa,"9,6","8,8","10,0",Sem limitações,"8,0",Sim,Sim,"10,000","5,000",-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-27,A,Aluno-27,2005,17,Menino,2016,Rede Decisão,Ametista,"7,124","449,000",12,12,4,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,"0,0","7,6","8,1",Sem limitações,"8,0",Não,Sim,"9,111","5,000",-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-28,A,Aluno-28,2005,17,Menina,2019,Escola Pública,Ágata,"6,242","698,000",14,14,4,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,"7,9","6,1","7,5",Requer avaliação,"5,0",Não,Não,"6,333","5,000",-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-29,A,Aluno-29,2005,17,Menino,2022,Escola Pública,Quartzo,"4,985","821,000",16,16,4,Promovido de Fase,Mantido na Fase + Bolsa,Mantido na Fase atual,Alocado em Fase anterior,"0,0","4,0","8,8",Requer avaliação,"3,7",Sim,Não,"7,611","5,000",-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-30,A,Aluno-30,2006,16,Menina,2021,Escola Pública,Ametista,"7,605","270,000",9,9,4,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,"8,8","6,4","7,5",Sem limitações,"7,5",Não,Não,"7,333","10,000",0,Melhorar: Melhorar a sua entrega de lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-31,A,Aluno-31,2005,17,Menina,2019,Rede Decisão,Topázio,"8,843","9,000",2,2,4,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,"10,0","9,5","9,4",Sem limitações,"8,0",Não,Sim,"10,000","5,000",-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-32,A,Aluno-32,2006,16,Menina,2018,Rede Decisão,Ametista,"7,370","370,000",11,11,4,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,"8,8","5,2","8,8",Sem limitações,"6,1",Não,Não,"7,944","10,000",0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022
RA-33,A,Aluno-33,2005,17,Menina,2020,Escola Pública,Quartzo,"4,952","824,000",17,17,4,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,"0,0","4,6","7,5",Sem limitações,"4,8",Não,Não,"6,000","5,000",-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
RA-34,A,Aluno-34,2005,17,Menino,2016,Rede Decisão,Ágata,"6,259","692,000",13,13,4,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase + Bolsa,"9,6","4,8","8,1",Sem limitações,"3,8",Não,Não,"7,278","5,000",-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022
